duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id
90,,Movie,Norm of the North: King Sized Adventure,9/9/2019,2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",81145628
94,,Movie,Jandino: Whatever it Takes,9/9/2016,2016,TV-MA,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",80117401
,1,TV Show,Transformers Prime,9/8/2018,2013,TV-Y7-FV,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",70234439
,1,TV Show,Transformers: Robots in Disguise,9/8/2018,2016,TV-Y7,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.",80058654
99,,Movie,#realityhigh,9/8/2017,2017,TV-14,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",80125979
,1,TV Show,Apaches,9/8/2017,2016,TV-MA,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,80163890
110,,Movie,Automata,9/8/2017,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",70304989
60,,Movie,Fabrizio Copano: Solo pienso en mi,9/8/2017,2017,TV-MA,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",80164077
,1,TV Show,Fire Chasers,9/8/2017,2017,TV-MA,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",80117902
90,,Movie,Good People,9/8/2017,2014,R,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,70304990
78,,Movie,Joaquín Reyes: Una y no más,9/8/2017,2017,TV-MA,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",80169755
95,,Movie,Kidnapping Mr. Heineken,9/8/2017,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",70299204
58,,Movie,Krish Trish and Baltiboy,9/8/2017,2009,TV-Y7,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",80182480
62,,Movie,Krish Trish and Baltiboy: Battle of Wits,9/8/2017,2013,TV-Y7,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.",80182483
65,,Movie,Krish Trish and Baltiboy: Best Friends Forever,9/8/2017,2016,TV-Y,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.",80182596
61,,Movie,Krish Trish and Baltiboy: Comics of India,9/8/2017,2012,TV-Y7,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",80182482
65,,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,9/8/2017,2017,TV-Y7,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",80182597
58,,Movie,Krish Trish and Baltiboy: Part II,9/8/2017,2010,TV-Y7,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",80182481
60,,Movie,Krish Trish and Baltiboy: The Greatest Trick,9/8/2017,2013,TV-Y7,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",80182621
