director	show_id
Richard Finn	81145628
Fernando Lebrija	80125979
Gabe Ibáñez	70304989
Rodrigo Toro	80164077
Henrik Ruben Genz	70304990
José Miguel Contreras	80169755
Daniel Alfredson	70299204
Munjal Shroff	80182483
Munjal Shroff	80182596
Tilak Shetty	80182482
Tilak Shetty	80182597
Munjal Shroff	80182621
Gaspar Noé	80057969
Tom O'Brien	80060297
Antoine Bardou-Jacquet	80046728
Mitch Dickman	80046727
Brad Anderson	70304988
Austin Stark	80057700
Hannah Fidell	80045922
Madeleine Gavin	80203094
Sopon Sukdapisit	70241607
Kevin R. Adams	80988892
Ian Samuels	80239639
Franck Ribière	80159586
Daniele Thompson	80152447
Anubhav Sinha	81154455
Maha Venkatesh	81113928
Tharun Bhascker	81052275
?enol Sönmez	81132437
Tom Gianas	80058026
Rajkumar Hirani	70303496
Robert Osman	80162141
Jon Spira	80095641
Mez Tharatorn	80159880
Adisorn Tresirikasem	81016044
Mez Tharatorn	80158838
Banjong Pisanthanakun	81016045
Banjong Pisanthanakun	70142798
Banjong Pisanthanakun	70062814
Chayanop Boonprakob	80158839
Susan Johnson	80147760
Lynn Shelton	80177405
Farhan Alam	81160036
Chad Archibald	81173255
Brian Baugh	81078908
A. L. Vijay	81155784
Ryan Coogler	80201906
Ben Palmer	80052612
Chris Howe	81054495
Ken Kwapis	70212504
Park In-je	80187061
Rod Blackhurst	80081155
Jesse V. Johnson	80198585
Mahsun K?rm?z?gül	70233894
Monique Gardenberg	81011955
Mike Flanagan	80128722
Jacob LaMendola	80182115
Ritesh Batra	80104068
Dylan Howitt	80119349
William Lau	80019931
Mana Yasuda	81053893
Brian De Palma	80200087
Mana Yasuda	81053892
Rizal Mantovani	81002850
Han Yan	81004470
Jeremy Saulnier	80157072
Kim A. Snyder	81001809
Raditya Dika	81002864
Rocky Soraya	81016750
Sunil Soraya	81002866
Álvaro Longoria	80992039
Brendan Byrne	80126507
Gupse Özay	81132443
Jim Mickle	80231903
Jumpei Mizusaki	81171121
Chi Fat Chan	81012295
Nabil Ayouch	80060037
Rob LaDuca	60003155
Mangesh Hadawale	81177238
Wong Kar Wai	70270775
Rob Cohen	80215923
Louis J. Horvitz	80151483
Linda Saffire	80173625
Luis Lopez	80005444
Otilia Portillo Padua	80244682
Le Van Kiet	81075519
Eric Summer	80166318
B. V. Nandini Reddy	81186758
B. V. Nandini Reddy	81186757
Mario Van Peebles	80108976
Ava DuVernay	80208155
Sonia Lowman	80198423
Benjamin Turner	80162144
Michael J. Bassett	81053953
Troy Miller	81074113
Tan Bing	80992496
Warren P. Sonoda	70304191
Álex de la Iglesia	80103311
Rahul Ravindran	81176200
Archie Borders	80208906
Bonni Cohen	80097321
Bobcat Goldthwait	80106966
Deepti Naval	81080769
Morgan Neville	70267838
